Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,GU,2014,"10        ",Female,16,Right-Handed,152,22,61,2,Bus,5,2.37,74,Baseball/Softball,"743 ",524,417,626,460,626,22,"Same length",95,75,"Same length",January,Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2015,"12        ",Male,18,Right-Handed,183,26,181,1,Car,45,0.399,40,Other,975,910,900,850,720,700,27,"Left foot",96,98,"Ring finger",June,Summer,Yes,No,Seafood,Water,History,7,10,6,"Yes - broadband connection","Internet chat or instant messaging",2,2,0,0.5,4.5,0.5,1,18,2,1,12,4,0,0,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Rich,Politician,Environment
USA,TN,2018,"12        ",Female,17,Right-Handed,165.1,25,178,1,Bus,15,0.432,34,Dancing,1000,1000,1000,934,690,706,25,"Same length",70,60.5,"Index finger",November,Winter,Yes,No,"No favorite",Water,"Mathematics and statistics",5,7,6,"Yes - other","Text messaging",30,40,0,10,15,1,0,0,2,30,27,6,0,1,Some,"Graduate degree",Pop,Fly,Happy,Relative,"International aid"
USA,IN,2020,"6         ",Male,11,Right-Handed,36,35,149.8,2,Bus,"30 ",0.461,40,Soccer,1000,1000,1000,1000,0,500,35,"Same length",100,107,"Ring finger",January,Summer,No,No,Meat,Water,Science,9,9,6,"Yes - other",E-mail,3,5,1,"half ",1,1,"1 ",1,0,15min,1,1,1,2,"Very little","High school",Other,Invisibility,Healthy,Relative,"Education/Youth development"
USA,AL,2010,"12        ",Female,17,Right-Handed,171,23,164,1,Car,15,.297,36,Tennis,375,350,400,,900,1000,22.5,"Right foot",75,70,"Index finger",March,Summer,Yes,No,Pizza/Pasta,Water,Science,7,10,5,"Yes - broadband connection","Text messaging",41,44,10,4,10,5,1,0,7,3,5,10,5,1,Some,"Graduate degree",Pop,Fly,Happy,Relative,"Education/Youth development"
USA,SC,2022,"11        ",Female,17,Left-Handed,157,23,157,1,Car,15,0.54,43,Other,348,262,727,626,433,428,20,"Right foot",70,70,"Same length",November,Fall,Yes,No,"Rice/Noodle dishes",Tea,History,7,13,2,"Yes - broadband connection","Text messaging",200,548,0,8,4,2,1,0,5,5,5,5,7,2,Some,"High school","Rap/Hip hop",Telepathy,Happy,"Coach or club leader","Arts, culture, sports"
USA,PA,2019,"12        ",Male,17,Right-Handed,178,28.5,176,1,Car,5,.34,53,Baseball/Softball,600,500,100,500,900,850,28,"Right foot",71,76,"Ring finger",April,Spring,Yes,No,Poultry,Water,"Mathematics and statistics",6.5,9,3,"Yes - broadband connection","Internet chat or instant messaging",10,10,10,.5,2,1,10,0,8,2,1,3,0,.5,"Very little","Graduate degree","Rap/Hip hop","Super strength",Happy,"Sports person",Health
USA,SC,2021,"12        ",Female,17,Right-Handed,175,24.8,176,1,Car,20,.354,52,Bowling,829,1000,668,412,947,1000,24.8,"Same length",37.2,39.5,"Ring finger",October,Winter,Yes,No,Meat,Water,Art,7,10,4,"Yes - other","Internet chat or instant messaging",30,200+,30,4,6,100,0,70,10,50,100,0,0,10,"A lot","Some college",Other,"Super strength",Rich,Other,"Wildlife, animals"
USA,VA,2021,"12        ",Female,17,Ambidextrous,161,,,2-3,Car,1,,,,,,,,,,,,,,"Ring finger",February,Fall,No,No,Breads/Sandwiches,Water,Science,7-8,8-9,3,"Yes - broadband connection","In person",45,50,,,,,,,,,,,,,Some,"Graduate degree",Pop,Fly,Happy,Other,Health
USA,NE,2018,"9         ",Female,15,Right-Handed,154.9,24.2,58.5,2,Car,15,.502,.46,Dancing,300,500,700,500,600,600,25.5,"Same length",7.1,6.1,"Index finger",January,Winter,No,No,Meat,Water,Music,4,6,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",100,150,5,1,0,0,2,0,4,4,4,2,0,7,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,Other,Environment
USA,MI,2022,"9         ",Female,14,Right-Handed,172,20.5,170.4,1,Car,40,0.339,50,Other,700,500,300,600,900,950,20.4,"Same length",80,75,"Index finger",March,Summer,Yes,No,Fruit,Water,"Mathematics and statistics",6,10,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",25,27,15,1,16,10,17,0,21,2,4,2,0,3,Some,"Graduate degree",Other,Telepathy,Healthy,Relative,Health
USA,CA,2015,"12        ",Female,16,Left-Handed,151,24,150,1,Walk,10,0.383,38,Dancing,797,652,1000,540,176,176,24,"Same length",80,78,"Index finger",November,Fall,Yes,Yes,Desserts,Water,Languages,8,10,4,"Yes - broadband connection","Text messaging",50,50,40,2,25,40,2,0,25,100,40,30,10,10,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Actor,"International aid"
USA,DE,2019,"12        ",Female,17,Ambidextrous,157,18,149,2,Bus,30,33ms,20,Other,1000,1000,700,900,500,700,18,"Same length",50,50,"Same length",July,Fall,Yes,No,Seafood,Water,Other,4,9,5,"Yes - other","Text messaging",300,400,2,49,30,10,6,0,29,8,69,5,0,2,"A lot","Graduate degree",Other,Telepathy,Happy,Friend,Environment
USA,CA,2019,"12        ",Male,17,Right-Handed,175,26,180,1,Car,65,.3,36,Gymnastics,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,SD,2019,"9         ",Male,15,Right-Handed,182,22,,1,Walk,0,.32,44,"Football (American)",584,584,584,584,200,530,22,"Same length",,,"Index finger",November,Fall,No,No,Desserts,"Soft drink (caffeinated)","Physical education",4,4,6,"Yes - broadband connection","Internet chat or instant messaging",1,15,168,20,12,17,14,130,168,20,168,0,0,1,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,"Wildlife, animals"
USA,CA,2018,"12        ",Female,16,Right-Handed,162,23,161,3,Car,15,0.357,40,Other,455,807,759,604,872,813,24,"Left foot",70,70,"Same length",March,Fall,No,No,"No favorite",Water,Languages,6,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",219,409,,2,20,40,10,1,10,,,3,0,30,"A lot","Graduate degree",Pop,,,,
USA,OR,2022,"6         ",Female,12,Ambidextrous,163,26,150,3,Car,15,0.407,44,Other,10,10,9,8.5,6,8.5,26,"Same length",90,80,"Index finger",September,Fall,Yes,No,"Rice/Noodle dishes",Water,"Physical education",8,12,4,"Yes - other","Text messaging",5,10,30,2,6,2,5,24,20,10,100,20,2,1,Some,"Graduate degree",Other,Invisibility,Healthy,"Musician or singer","Wildlife, animals"
USA,AZ,2021,"8         ",Male,13,Right-Handed,167.6,25.4,68.5,1,Bus,10,1.053,43,"Football (American)",578,578,647,551,102,155,25.4,"Same length",76.2,76.3,"Ring finger",February,Winter,No,No,Meat,Water,"Mathematics and statistics",7,5,5,"Yes - other","Text messaging",26,37,3,2,1,4,3,3,2,1,5,0,0,2,None,"Graduate degree",Country,"Freeze time",Happy,Relative,Health
USA,GA,2018,"9         ",Male,14,Right-Handed,168,25,160,1,Car,12,0.422,43,Athletics,513,717,722,385,1000,1000,25,"Same length",65,67,"Ring finger",May,Summer,Yes,No,"No favorite",Water,"Physical education",7,9,4,"Yes - broadband connection","Text messaging",0,1,0,0,2,3,8,0,0,0,2,9,0,1,"A lot","Graduate degree","Rock and roll","Freeze time",Rich,Actor,Health
USA,MA,2021,"12        ",Female,17,Right-Handed,157,,157,2,Car,8,0.346,55,Dancing,0,1000,500,400,1000,1000,,,8,8.5,"Ring finger",September,Summer,No,No,Meat,Water,"Mathematics and statistics",7,9,6,"Yes - broadband connection","Text messaging",,,30,2,10,40,20,25,12,11,8,8,40,7,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,"Doctor or nurse",Environment
USA,TN,2022,"12        ",Female,18,Right-Handed,160,25,152.4,1,Car,30,0.606,35,Walking/Hiking,542,487,1000,545,358,1000,25,"Same length",60,75,"Ring finger",December,Winter,Yes,No,Fruit,Water,"Physical education",9,14,2,"Yes - broadband connection","In person",10,50,5,3,2,3,0,5,7,50,70,3,0,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Education/Youth development"
USA,MA,2020,"12        ",Male,18,Right-Handed,58,30,30,2,Bus,45,0.351,63,Basketball,866,877,888,904,888,898,30,"Same length",14,8,"Index finger",May,Winter,Yes,Yes,Meat,Water,History,8,5,5,"Yes - other","Internet chat or instant messaging",9,45,0,1,3,1,2,5,4,1,6,0,0,0,"Very little","Undergraduate degree","Rap/Hip hop","Super strength",Famous,Actor,Health
USA,ID,2018,"12        ",Male,22,Right-Handed,185,28,190,2,Walk,1,.364,36,Soccer,1000,0,800,1000,1000,1000,28,"Same length",11,12.7,"Ring finger",November,Fall,No,No,Fruit,Water,"Physical education",9,9,4,"Yes - broadband connection","Cell phone",50,50,30,3,10,0,3,10,10,10,15,0,0,0,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,"Business person","Wildlife, animals"
USA,NC,2022,"12        ",Male,17,Right-Handed,"5'7""",28,158,1,Car,5,0.191,49,Baseball/Softball,500,300,900,1000,500,600,28,"Same length",76.2,76.2,"Same length",May,Fall,Yes,No,Meat,Tea,History,7,7,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",15,15,20,5,1,20,7,0,1,1,2,1,35,3,Some,"Graduate degree",Country,"Super strength",Happy,Relative,Religious
USA,FL,2019,"12        ",Male,17,Ambidextrous,152,12,199,1,Car,29,.2,.2,Bowling,599,599,599,599,599,599,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,GA,2017,"6         ",Male,12,Right-Handed,143,21,146,2,Bus,20,.285,,Swimming,600,650,600,700,1000,1000,21,"Same length",75,78,"Ring finger",December,Winter,No,No,Desserts,Water,"Computers and technology",9,10,3,"Yes - broadband connection","Internet chat or instant messaging",2,15,.5,1,4,5,.5,0,0,.1,3,3,0,.5,Some,Other,Techno/Electronic,"Freeze time",Happy,Relative,"Education/Youth development"
USA,SC,2022,"11        ",Female,16,Right-Handed,152.4,23,152.4,2,Other,0,0.396,45,Walking/Hiking,754,754,754,754,802,802,24,"Left foot",7,6.5,"Index finger",February,Winter,No,No,Pizza/Pasta,Water,Music,8,8,5,"Yes - broadband connection","In person",10,8,3,1,16,5,0,0,1,1,50,10,0,5,Some,"Some college",Pop,"Freeze time",Happy,Friend,Religious
USA,FL,2018,"12        ",Male,16,Right-Handed,184,28,182,1,Walk,5,.1,39,Basketball,1,1,500,500,1000,1000,28,"Same length",100,100,"Same length",April,Winter,No,No,Pizza/Pasta,Water,"Physical education",8,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,10,10,1,6,5,10,25,10,15,15,2,16,0,"Very little","Undergraduate degree","Rap/Hip hop","Freeze time",Rich,Other,Other
USA,CA,2016,"12        ",Female,17,Right-Handed,165,21.6,,1,Car,15,.417,48,Athletics,868,800,999,890,550,680,,"Same length",74,60,"Ring finger",August,Fall,No,No,Pizza/Pasta,Water,History,6,8,5,"Yes - broadband connection","Text messaging",10,5,4,2,24,5,14,0,8,4,10,3,0,6,"A lot","Graduate degree",Other,Fly,Happy,Actor,Health
USA,MN,2014,"11        ",Male,15,Right-Handed,182.8,42,76.2,1,Bus,45,.318,37,Other,750,100,750,750,500,500,42,"Same length",70,90,"Ring finger",May,Summer,Yes,No,Meat,Water,History,8,8,4,"Yes - broadband connection","In person",150,150,10,2,6,1,25,4,4,18,5,5,8,4,Some,Other,"Rock and roll",Invisibility,Rich,Relative,Health
USA,MI,2022,"12        ",Male,18,Right-Handed,"171 ",23,"13 cm",2,Car,10,.45,40,Soccer,500,900,700,500,1000,1000,9.5,"Left foot",76,79,"Same length",October,Fall,No,No,Pizza/Pasta,Water,"Social studies",7,7,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",3,5,18,3,6,5,2,5,20,4,48,2,22,8,Some,"Undergraduate degree","Rap/Hip hop",Fly,Rich,"Business person","Wildlife, animals"
USA,GA,2013,"12        ",Female,17,Right-Handed,156,22,161,2,Car,20,.397,35,Other,390,535,455,770,449,968,22,"Same length",98,97,"Index finger",September,Fall,,No,Pizza/Pasta,Tea,Music,8,10,5,"Yes - broadband connection","Cell phone",50,55,4,6,14,4,10,0,2,3,2,2,0,3,"A lot","Graduate degree",Gospel,Fly,Happy,"Religious figure","Arts, culture, sports"
USA,PA,2016,"10        ",Male,16,Right-Handed,173.9,,,,,8,.326,35,,,,,,,,,,15,15.5,"Ring finger",,,,,,,,6.5,9,5,,,,,,,,,,,,,,,,,,,,,,,
USA,NJ,2020,"11        ",Male,17,Ambidextrous,175,13,175,1,Bus,"45 ",0.419,55,"Football (American)",1000,1000,1000,1000,0,0,33.02,"Same length",,,"Same length",March,Summer,Yes,No,"No favorite","Soft drink (caffeinated)",Other,5,6,4,"Yes - other","Cell phone",100,100,5,20,1,10,5,2,1,50,1,5,50,30,Some,"Some college","Rap/Hip hop","Freeze time",Happy,"Business person","Wildlife, animals"
USA,NC,2022,"12        ",Female,16,Right-Handed,151,21,155,3,Car,15,0.482,56,"Martial Arts",950,950,950,950,1000,1000,22,"Left foot",63,63,"Same length",February,Fall,No,No,"Rice/Noodle dishes",Water,Music,5,9,5,"Yes - broadband connection","Text messaging",100,25,4,0,12,8,0,0,10,10,10,0,12,3,"A lot","Graduate degree","Rhythm and blues (R&B)","Super strength",Happy,Friend,Environment
USA,PA,2017,"12        ",Female,17,Right-Handed,170,25,159,1,Car,8,0.301,31,Other,1000,700,620,850,1000,1000,26,"Left foot",82,72,"Index finger",March,Fall,Yes,No,Fruit,Water,Science,3,13,4,"Yes - broadband connection","Internet chat or instant messaging",120,260,8,1,35,10,0,0,14,3,10,1,2,3,"A lot","Graduate degree",Other,Invisibility,Rich,Friend,Environment
USA,WI,2018,"11        ",Female,16,Right-Handed,157,24,152,1,Car,15,0.888,56,Other,900,900,900,800,500,900,23,"Left foot",7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,VT,2017,"9         ",Male,17,Right-Handed,177,26,58,2,Walk,1,0.74,46,Soccer,500,500,1000,1000,600,1000,26,"Same length",150,150,"Same length",December,Summer,No,No,Other,"Sports drink",Languages,8,10,5,"Yes - broadband connection",Other,40,40,30,2,5,9,3,0,2,2,4,0,0,4,Some,"Some college","Rap/Hip hop","Super strength",Happy,Other,"Education/Youth development"
USA,NY,2021,"12        ",Female,17,Right-Handed,165,25,160,1,"Rail (Train/Tram/Subway)",90,0.404,35,Swimming,1000,1000,1000,1000,1000,1000,24,"Right foot",70,70,"Same length",April,Fall,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",8,12,5,"Yes - broadband connection","Text messaging",30,30,0,10,5,2,0,0,2,4,30,35,0,3,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,Relative,Health
USA,NE,2017,"10        ",Female,15,Right-Handed,"162 ","25 ",157,1,Car,"10 ",0.629,"44 ",Baseball/Softball,471,171,561,508,150,390,23,"Right foot","63.5 ",65,"Index finger",March,Fall,No,No,Pizza/Pasta,Water,History,6,10,6,"Yes - other","Text messaging",100,150,50,7,15,24,20,10,60,50,40,30,0,5,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Rich,"Coach or club leader",Health
USA,CA,2016,"12        ",Female,17,Left-Handed,157.5,,,1,Car,11,.91,59,Soccer,500,500,600,400,850,900,,"Same length",,,"Same length",July,Winter,No,No,Breads/Sandwiches,Water,Music,5,8,3,"Yes - broadband connection","Text messaging",60,60,7,1,14,14,5,0,10,6,14,2,2,0,"A lot","Some college",Pop,Invisibility,Happy,"Musician or singer",Health
USA,WI,2016,"12        ",Female,17,Right-Handed,164.5,22,165,2,Car,20,.622,50,Tennis,800,500,400,500,700,700,23,"Left foot",8,8,"Same length",August,Fall,No,No,Salads,Water,"Mathematics and statistics",6,12,4,,"Text messaging",34,29,35,1,6,10,5,1,9,5,12,3,0,1,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,"International aid"
USA,MA,2020,"11        ",Male,15,Right-Handed,177.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,KS,2021,"7         ",Female,12,Right-Handed,158,25,163,1,Bus,20,0.416,49,Other,481,412,636,412,91,48,23,"Left foot",70,75,"Ring finger",June,Fall,No,No,Other,Tea,"Physical education",7,6,7,"No internet connection","Text messaging",5,7,0,1,3,2,3,0,0,1,0,10,0,20,Some,"Some college",Other,Telepathy,Happy,Friend,"Wildlife, animals"
USA,IN,2012,"12        ",Male,18,Right-Handed,185,35,176,2,Car,9,.331,30,"Football (American)",500,200,100,,0,1000,35,"Same length",95,105,"Ring finger",July,Summer,Yes,No,Meat,"Sports drink","Physical education",6,8,3,"Yes - broadband connection","In person",10,10,5,2,5,15,10,1,3,1,2,3,15,2,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,"Sports person",Health
