"Season","team1","team2","result","home"
2019,1205,1438,0,0
2019,1387,1439,0,0
2019,1429,1449,0,0
2019,1120,1242,1,0
2019,1199,1293,1,0
2019,1124,1211,0,0
2019,1246,1459,1,0
2019,1261,1268,1,0
2019,1196,1276,0,0
2019,1277,1278,1,0
2019,1345,1437,1,0
2019,1181,1416,1,0
2019,1222,1326,1,0
2019,1314,1449,1,0
2019,1332,1414,1,0
2019,1234,1397,0,0
2019,1138,1403,0,0
2019,1328,1438,0,0
2019,1251,1439,0,0
2019,1199,1211,0,0
2019,1345,1397,1,0
2019,1276,1403,0,0
2019,1332,1438,0,0
2019,1120,1314,1,0
2019,1181,1439,1,0
2019,1222,1246,0,0
2019,1261,1277,0,0
2019,1211,1403,0,0
2019,1345,1438,0,0
2019,1120,1246,1,0
2019,1181,1277,0,0
2019,1277,1403,0,0
2019,1120,1438,0,0
2019,1403,1438,0,0
2021,1179,1455,1,0
2021,1111,1313,0,0
2021,1291,1411,0,0
2021,1277,1417,0,0
2021,1116,1159,1,0
2021,1124,1216,1,0
2021,1196,1439,1,0
2021,1156,1222,0,0
2021,1180,1228,0,0
2021,1210,1260,0,0
2021,1317,1345,1,0
2021,1251,1329,0,0
2021,1326,1331,0,0
2021,1333,1397,1,0
2021,1155,1353,0,0
2021,1361,1393,0,0
2021,1403,1429,1,0
2021,1437,1457,1,0
2021,1287,1452,0,0
2021,1314,1458,0,0
2021,1101,1400,1,0
2021,1104,1233,1,0
2021,1160,1207,1,0
2021,1166,1364,1,0
2021,1199,1422,1,0
2021,1211,1313,1,0
2021,1213,1234,0,0
2021,1186,1242,0,0
2021,1261,1382,1,0
2021,1163,1268,0,0
2021,1276,1411,1,0
2021,1325,1438,1,0
2021,1281,1328,0,0
2021,1140,1417,0,0
2021,1179,1425,0,0
2021,1116,1403,1,0
2021,1124,1458,1,0
2021,1222,1353,1,0
2021,1228,1260,0,0
2021,1196,1331,0,0
2021,1329,1333,0,0
2021,1393,1452,1,0
2021,1317,1437,0,0
2021,1104,1268,1,0
2021,1166,1325,1,0
2021,1160,1199,0,0
2021,1211,1328,1,0
2021,1261,1276,0,0
2021,1234,1332,0,0
2021,1101,1417,0,0
2021,1242,1425,0,0
2021,1116,1331,1,0
2021,1124,1437,1,0
2021,1222,1393,1,0
2021,1260,1333,0,0
2021,1166,1211,0,0
2021,1199,1276,0,0
2021,1104,1417,0,0
2021,1332,1425,0,0
2021,1116,1124,0,0
2021,1222,1333,1,0
2021,1211,1425,1,0
2021,1276,1417,0,0
2021,1124,1222,1,0
2021,1211,1417,1,0
2021,1124,1211,1,0
2022,1231,1461,1,0
2022,1394,1411,0,0
2022,1323,1353,1,0
2022,1136,1460,0,0
2022,1116,1436,1,0
2022,1124,1313,1,0
2022,1166,1361,1,0
2022,1209,1211,0,0
2022,1242,1411,1,0
2022,1129,1272,0,0
2022,1161,1276,0,0
2022,1293,1362,1,0
2022,1163,1308,0,0
2022,1266,1314,0,0
2022,1344,1355,1,0
2022,1234,1350,0,0
2022,1231,1388,0,0
2022,1246,1389,0,0
2022,1255,1397,0,0
2022,1103,1417,0,0
2022,1112,1460,1,0
2022,1120,1240,1,0
2022,1168,1181,0,0
2022,1222,1412,1,0
2022,1151,1228,0,0
2022,1235,1261,1,0
2022,1274,1425,1,0
2022,1172,1277,0,0
2022,1104,1323,0,0
2022,1260,1326,0,0
2022,1345,1463,1,0
2022,1371,1395,0,0
2022,1400,1439,1,0
2022,1286,1403,0,0
2022,1174,1437,0,0
2022,1159,1458,0,0
2022,1116,1308,1,0
2022,1211,1272,1,0
2022,1166,1242,0,0
2022,1276,1397,1,0
2022,1124,1314,0,0
2022,1344,1350,1,0
2022,1293,1389,0,0
2022,1388,1417,0,0
2022,1112,1395,1,0
2022,1181,1277,1,0
2022,1222,1228,1,0
2022,1235,1458,1,0
2022,1120,1274,0,0
2022,1345,1400,1,0
2022,1323,1403,0,0
2022,1326,1437,0,0
2022,1116,1211,1,0
2022,1181,1403,1,0
2022,1112,1222,0,0
2022,1276,1437,0,0
2022,1242,1344,1,0
2022,1235,1274,0,0
2022,1314,1417,1,0
2022,1345,1389,0,0
2022,1116,1181,0,0
2022,1222,1437,0,0
2022,1242,1274,1,0
2022,1314,1389,1,0
2022,1242,1437,1,0
2022,1181,1314,0,0
2022,1242,1314,1,0
