"Season","DayNum","team1_TeamID","team1_Score","team2_TeamID","team2_Score","WLoc","NumOT","team1_FGM","team1_FGA","team1_FGM3","team1_FGA3","team1_FTM","team1_FTA","team1_OR","team1_DR","team1_Ast","team1_TO","team1_Stl","team1_Blk","team1_PF","team2_FGM","team2_FGA","team2_FGM3","team2_FGA3","team2_FTM","team2_FTA","team2_OR","team2_DR","team2_Ast","team2_TO","team2_Stl","team2_Blk","team2_PF","league","PT_margin","FTA_margin","PF_margin","OR_margin","DR_margin","FGA_margin","FGA3_margin","TO_margin","Stl_margin","Ast_margin","Blk_margin"
2025,0,1280,95,1480,60,"H",0,36,65,14,30,9,16,7,22,19,8,17,4,17,21,54,4,19,14,20,6,24,11,19,3,4,13,"MNCAA",35,-4,4,1,-2,11,11,-11,14,8,0
2025,0,1301,97,1367,66,"H",0,38,68,9,27,12,21,14,28,22,11,9,8,24,21,62,3,21,21,27,15,20,8,16,7,0,21,"MNCAA",31,-6,3,-1,8,6,6,-5,2,14,8
2025,0,1304,87,1410,67,"H",0,28,57,6,19,25,35,11,31,11,13,9,2,15,24,62,13,41,6,9,8,22,11,20,4,0,27,"MNCAA",20,26,-12,3,9,-5,-22,-7,5,0,2
2025,0,1305,91,1358,75,"H",0,30,53,10,22,21,31,10,24,17,12,9,5,20,24,57,10,25,17,21,8,16,15,11,4,3,27,"MNCAA",16,10,-7,2,8,-4,-3,1,5,2,2
2025,0,1307,91,1311,84,"H",0,31,81,7,36,22,32,16,29,18,8,10,10,16,30,72,15,37,9,16,11,33,18,16,4,4,24,"MNCAA",7,16,-8,5,-4,9,-1,-8,6,0,6
2025,0,1314,90,1189,76,"H",0,32,80,13,32,13,16,15,24,22,6,11,7,13,26,61,13,29,11,14,9,28,11,15,4,5,12,"MNCAA",14,2,1,6,-4,19,3,-9,7,11,2
2025,0,1316,74,1376,71,"A",0,29,69,10,29,6,13,13,24,10,9,6,4,20,26,56,5,16,14,25,7,27,15,10,5,8,14,"MNCAA",3,-12,6,6,-3,13,13,-1,1,-5,-4
2025,0,1318,80,1131,72,"A",0,30,47,7,16,13,22,3,20,13,12,10,7,17,29,62,9,21,5,11,12,15,16,11,5,2,15,"MNCAA",8,11,2,-9,5,-15,-5,1,5,-3,5
2025,0,1321,90,1250,46,"H",0,36,66,9,20,9,14,10,31,22,7,10,3,18,17,53,2,17,10,18,6,20,8,12,4,1,16,"MNCAA",44,-4,2,4,11,13,3,-5,6,14,2
2025,0,1326,80,1400,72,"N",0,27,60,14,28,12,14,8,27,16,14,2,2,19,25,68,7,27,15,20,11,19,15,9,5,2,14,"MNCAA",8,-6,5,-3,8,-8,1,5,-3,1,0
2025,0,1328,93,1473,60,"H",0,34,65,14,34,11,17,11,32,23,11,9,4,16,23,65,4,24,10,14,11,20,5,12,6,3,15,"MNCAA",33,3,1,0,12,0,10,-1,3,18,1
2025,0,1329,89,1453,76,"H",0,29,69,10,22,21,24,16,23,13,13,11,4,17,25,51,14,31,12,16,2,21,14,19,8,2,17,"MNCAA",13,8,0,14,2,18,-9,-6,3,-1,2
2025,0,1332,91,1415,76,"H",0,33,66,6,19,19,25,13,28,16,8,5,4,16,29,65,12,34,6,12,7,19,13,8,5,2,23,"MNCAA",15,13,-7,6,9,1,-15,0,0,3,2
2025,0,1333,80,1469,57,"H",0,32,64,6,24,10,16,9,27,16,9,8,5,19,19,57,5,25,14,23,8,25,10,12,4,0,20,"MNCAA",23,-7,-1,1,2,7,-1,-3,4,6,5
2025,0,1335,58,1312,57,"A",0,16,49,5,19,21,35,8,25,5,11,4,2,16,20,54,7,24,10,13,7,25,8,11,6,4,23,"MNCAA",1,22,-7,1,0,-5,-5,0,-2,-3,-2
2025,0,1336,108,1127,66,"H",0,35,69,13,31,25,32,14,24,17,5,16,7,17,24,56,7,19,11,15,8,19,14,21,2,1,26,"MNCAA",42,17,-9,6,5,13,12,-16,14,3,6
2025,0,1338,96,1347,56,"H",0,36,65,8,23,16,21,10,30,18,8,11,8,18,18,58,5,19,15,20,9,20,7,14,4,3,21,"MNCAA",40,1,-3,1,10,7,4,-6,7,11,5
2025,0,1343,81,1233,80,"H",0,31,56,8,26,11,22,8,16,16,9,6,2,15,30,56,6,13,14,22,10,21,14,16,7,0,21,"MNCAA",1,0,-6,-2,-5,0,13,-7,-1,2,2
2025,0,1344,59,1148,55,"H",0,20,53,8,32,11,15,13,26,12,15,3,3,19,17,54,0,8,21,26,7,21,3,6,12,3,16,"MNCAA",4,-11,3,6,5,-1,24,9,-9,9,0
2025,0,1345,90,1394,73,"H",0,31,55,11,26,17,27,8,29,24,16,4,6,7,30,67,6,19,7,7,6,19,14,9,10,0,25,"MNCAA",17,20,-18,2,10,-12,7,7,-6,10,6
2025,0,1348,96,1193,58,"H",0,28,52,6,11,34,41,6,38,14,11,1,4,24,19,70,4,29,16,27,15,19,12,10,4,7,32,"MNCAA",38,14,-8,-9,19,-18,-18,1,-3,2,-3
2025,0,1355,80,1270,73,"N",0,28,61,12,35,12,16,11,30,15,15,5,4,17,23,59,7,26,20,27,8,20,10,11,13,2,17,"MNCAA",7,-11,0,3,10,2,9,4,-8,5,2
2025,0,1365,85,1387,78,"N",0,28,66,12,35,17,20,13,19,11,12,8,3,14,29,61,12,34,8,10,8,25,13,17,4,3,19,"MNCAA",7,10,-5,5,-6,5,1,-5,4,-2,0
2025,0,1371,57,1389,53,"H",0,14,44,5,16,24,37,10,17,10,14,10,4,23,15,42,7,20,16,25,7,24,7,17,9,3,30,"MNCAA",4,12,-7,3,-7,2,-4,-3,1,3,1
2025,0,1373,72,1135,71,"H",1,24,66,5,20,19,28,15,21,7,12,10,4,15,28,64,7,22,8,13,15,25,8,16,6,9,24,"MNCAA",1,15,-9,0,-4,2,-2,-4,4,-1,-5
2025,0,1374,96,1470,62,"H",0,34,63,11,26,17,22,12,22,20,13,13,4,18,18,49,6,13,20,24,7,17,8,22,5,3,16,"MNCAA",34,-2,2,5,5,14,13,-9,8,12,1
2025,0,1377,93,1380,79,"H",0,32,62,10,24,19,32,9,20,17,11,10,6,22,28,64,5,20,18,24,14,22,9,17,5,5,25,"MNCAA",14,8,-3,-5,-2,-2,4,-6,5,8,1
2025,0,1379,77,1132,68,"H",0,30,61,5,22,12,14,2,27,17,12,9,10,8,27,66,10,28,4,8,7,24,11,13,8,3,13,"MNCAA",9,6,-5,-5,3,-5,-6,-1,1,6,7
2025,0,1382,70,1169,56,"H",0,20,55,7,32,23,34,12,25,10,16,10,5,14,20,54,6,19,10,16,6,26,14,21,8,1,26,"MNCAA",14,18,-12,6,-1,1,13,-5,2,-4,4
2025,0,1385,92,1200,60,"H",0,36,66,9,26,11,15,7,27,19,11,11,4,19,20,55,8,23,12,20,8,21,9,19,5,1,13,"MNCAA",32,-5,6,-1,6,11,3,-8,6,10,3
2025,0,1386,70,1298,63,"H",0,20,46,8,22,22,29,3,29,9,17,6,11,16,24,67,6,22,9,11,10,24,10,13,9,3,26,"MNCAA",7,18,-10,-7,5,-21,0,4,-3,-1,8
2025,0,1388,76,1406,69,"H",0,25,54,4,16,22,29,12,25,11,9,4,1,19,27,64,4,13,11,19,11,16,13,7,2,3,25,"MNCAA",7,10,-6,1,9,-10,3,2,2,-2,-2
2025,0,1390,85,1176,62,"H",0,32,65,7,23,14,18,13,18,20,10,13,6,18,22,48,3,17,15,23,7,16,6,20,4,2,16,"MNCAA",23,-5,2,6,2,17,6,-10,9,14,4
2025,0,1393,86,1478,82,"H",0,31,72,4,22,20,31,18,26,15,11,7,2,11,28,57,9,25,17,23,5,24,12,16,6,1,25,"MNCAA",4,8,-14,13,2,15,-3,-5,1,3,1
2025,0,1395,105,1197,59,"H",0,41,75,14,30,9,16,15,29,29,5,8,3,21,18,54,8,34,15,21,7,19,8,12,3,0,15,"MNCAA",46,-5,6,8,10,21,-4,-7,5,21,3
2025,0,1396,81,1357,70,"H",0,27,55,11,23,16,23,6,26,14,16,10,5,12,29,68,5,20,7,11,11,24,11,16,10,3,20,"MNCAA",11,12,-8,-5,2,-13,3,0,0,3,2
2025,0,1397,80,1205,64,"H",0,28,55,8,23,16,21,7,21,16,10,9,2,15,24,55,6,23,10,15,7,20,8,14,6,2,19,"MNCAA",16,6,-4,0,1,0,0,-4,3,8,0
2025,0,1402,64,1185,44,"H",0,20,48,7,15,17,21,8,32,13,12,8,4,16,17,58,5,24,5,15,10,19,7,13,7,0,15,"MNCAA",20,6,1,-2,13,-10,-9,-1,1,6,4
2025,0,1404,67,1229,65,"A",0,26,66,7,25,8,18,10,36,14,14,6,3,25,18,62,8,41,21,28,8,31,13,9,6,2,19,"MNCAA",2,-10,6,2,5,4,-16,5,0,1,1
2025,0,1407,84,1405,74,"H",0,35,67,7,23,7,13,11,29,16,11,9,5,18,28,69,3,17,15,17,11,21,15,11,6,3,14,"MNCAA",10,-4,4,0,8,-2,6,0,3,1,2
2025,0,1416,64,1401,61,"H",0,17,50,8,26,22,31,5,19,13,10,9,10,17,23,63,7,23,8,14,15,27,13,11,4,3,24,"MNCAA",3,17,-7,-10,-8,-13,3,-1,5,0,7
2025,0,1417,85,1351,50,"H",0,34,65,10,29,7,12,13,28,21,9,6,9,13,20,63,5,20,5,13,16,18,13,11,6,2,17,"MNCAA",35,-1,-4,-3,10,2,9,-2,0,8,7
2025,0,1422,73,1195,64,"H",0,22,61,12,31,17,20,11,28,10,5,6,1,11,23,58,9,30,9,11,7,27,11,7,1,0,20,"MNCAA",9,9,-9,4,1,3,1,-2,5,-1,1
2025,0,1424,93,1106,79,"H",0,33,58,9,20,18,28,12,22,20,9,4,4,16,27,61,9,22,16,20,10,17,15,12,5,0,23,"MNCAA",14,8,-7,2,5,-3,-2,-3,-1,5,4
2025,0,1425,77,1151,51,"H",0,32,64,8,25,5,7,8,24,21,9,9,3,17,15,54,6,34,15,19,11,20,13,13,6,2,13,"MNCAA",26,-12,4,-3,4,10,-9,-4,3,8,1
2025,0,1428,100,1108,59,"H",0,32,57,19,38,17,25,10,21,29,10,10,2,18,20,55,3,11,16,22,13,12,9,14,7,1,19,"MNCAA",41,3,-1,-3,9,2,27,-4,3,20,1
2025,0,1433,84,1468,65,"H",0,29,55,15,29,11,17,11,21,20,16,7,10,17,26,56,4,13,9,13,9,17,8,13,10,1,23,"MNCAA",19,4,-6,2,4,-1,16,3,-3,12,9
2025,0,1435,102,1271,63,"H",0,36,72,8,34,22,33,14,29,19,1,11,4,15,23,52,7,21,10,19,4,26,7,15,1,0,19,"MNCAA",39,14,-4,10,3,20,13,-14,10,12,4
2025,0,1436,67,1412,62,"A",0,22,58,10,27,13,16,6,22,11,5,4,4,14,26,68,0,10,10,15,14,30,3,7,4,8,15,"MNCAA",5,1,-1,-8,-8,-10,17,-2,0,8,-4
2025,0,1437,75,1248,63,"H",0,31,60,4,13,9,11,11,25,15,16,9,4,14,24,59,7,20,8,12,8,13,18,12,8,3,14,"MNCAA",12,-1,0,3,12,1,-7,4,1,-3,1
2025,0,1439,83,1175,60,"H",0,26,55,9,28,22,33,11,27,20,14,6,5,21,17,49,3,10,23,30,9,18,8,16,9,1,23,"MNCAA",23,3,-2,2,9,6,18,-2,-3,12,4
2025,0,1442,59,1363,55,"A",0,22,51,7,24,8,10,6,26,10,12,3,2,24,16,46,3,16,20,29,4,21,6,5,5,0,15,"MNCAA",4,-19,9,2,5,5,8,7,-2,4,2
2025,0,1448,64,1164,49,"H",0,22,56,9,37,11,23,9,26,14,12,11,6,18,17,60,4,18,11,15,12,27,9,19,5,0,21,"MNCAA",15,8,-3,-3,-1,-4,19,-7,6,5,6
2025,0,1450,100,1340,92,"H",0,30,57,15,32,25,32,9,25,15,20,6,4,25,33,68,12,27,14,21,13,13,16,15,9,4,24,"MNCAA",8,11,1,-4,12,-11,5,5,-3,-1,0
2025,0,1452,87,1352,59,"H",0,33,60,14,34,7,12,6,28,16,11,10,8,14,22,68,6,24,9,12,15,25,8,13,6,1,12,"MNCAA",28,0,2,-9,3,-8,10,-2,4,8,7
2025,0,1455,91,1443,84,"A",0,27,61,11,27,26,36,8,31,17,14,11,8,21,27,68,6,25,24,34,9,28,12,13,8,3,25,"MNCAA",7,2,-4,-1,3,-7,2,1,3,5,5
2025,0,1458,85,1221,61,"H",0,29,59,11,31,16,16,7,25,15,11,7,2,14,23,53,9,24,6,7,3,17,8,12,4,2,20,"MNCAA",24,9,-6,4,8,6,7,-1,3,7,0
2025,0,1462,78,1411,69,"H",0,19,51,6,23,34,41,4,26,17,9,14,3,15,24,58,10,23,11,13,6,25,16,17,7,4,31,"MNCAA",9,28,-16,-2,1,-7,0,-8,7,1,-1
2025,0,1463,88,1346,62,"H",0,30,65,7,20,21,27,18,24,19,15,7,4,16,19,60,7,32,17,18,7,16,10,13,10,7,24,"MNCAA",26,9,-8,11,8,5,-12,2,-3,9,-3
2025,0,1465,83,1230,78,"H",0,31,65,5,17,16,23,12,18,15,5,6,1,12,31,61,11,23,5,9,11,24,6,11,2,4,22,"MNCAA",5,14,-10,1,-6,4,-6,-6,4,9,-3
2025,0,1466,73,1102,57,"A",0,27,58,15,29,4,9,5,26,13,5,6,3,19,18,46,9,26,12,17,5,25,13,13,2,4,12,"MNCAA",16,-8,7,0,1,12,3,-8,4,0,-1
2025,1,1113,55,1226,48,"H",0,20,55,7,24,8,12,6,31,12,14,6,9,15,17,67,4,28,10,13,14,27,6,8,4,4,16,"MNCAA",7,-1,-1,-8,4,-12,-4,6,2,6,5
2025,1,1140,88,1146,50,"H",0,33,72,15,44,7,11,17,27,21,10,11,8,13,19,56,7,31,5,13,8,20,14,17,5,2,10,"MNCAA",38,-2,3,9,7,16,13,-7,6,7,6
2025,1,1243,89,1309,65,"H",0,34,73,13,34,8,12,18,23,24,9,7,6,12,25,64,9,20,6,7,12,21,13,12,7,3,13,"MNCAA",24,5,-1,6,2,9,14,-3,0,11,3
2025,1,1317,80,1191,63,"H",0,26,57,9,24,19,24,13,20,12,8,10,0,11,22,47,8,26,11,17,3,18,11,13,4,4,18,"MNCAA",17,7,-7,10,2,10,-2,-5,6,1,-4
2025,1,1349,77,1198,70,"H",0,24,52,6,24,23,38,8,26,16,15,3,5,18,23,63,6,18,18,24,9,29,12,11,11,4,31,"MNCAA",7,14,-13,-1,-3,-11,6,4,-8,4,1
2025,1,1362,86,1142,78,"H",0,28,62,7,28,23,28,8,25,15,15,12,8,18,26,64,12,34,14,15,5,23,17,16,12,2,21,"MNCAA",8,13,-3,3,2,-2,-6,-1,0,-2,6
2025,1,1403,94,1126,61,"H",0,36,63,16,30,6,10,10,27,17,11,7,6,12,25,60,6,16,5,10,3,14,13,9,7,3,10,"MNCAA",33,0,2,7,13,3,14,2,0,4,3
2025,1,1449,79,1413,73,"H",0,28,62,2,14,21,38,11,31,13,14,11,6,20,23,66,6,27,21,26,13,28,6,17,5,6,25,"MNCAA",6,12,-5,-2,3,-4,-13,-3,6,7,0
2025,2,1116,76,1252,60,"H",0,34,63,4,19,4,7,6,27,10,12,11,5,11,22,58,9,27,7,9,4,22,8,18,8,1,12,"MNCAA",16,-2,-1,2,5,5,-8,-6,3,2,4
2025,2,1120,94,1436,43,"H",0,36,64,16,35,6,11,7,35,15,9,10,7,15,15,58,5,23,8,11,9,16,6,15,6,3,10,"MNCAA",51,0,5,-2,19,6,12,-6,4,9,4
2025,2,1129,87,1324,43,"H",0,33,62,9,20,12,14,11,33,23,7,4,5,9,18,66,3,26,4,9,9,17,2,9,4,5,13,"MNCAA",44,5,-4,2,16,-4,-6,-2,0,21,0
2025,2,1162,90,1437,80,"A",0,29,54,8,24,24,26,6,15,14,8,10,0,19,27,60,11,32,15,17,12,16,16,12,6,2,23,"MNCAA",10,9,-4,-6,-1,-6,-8,-4,4,-2,-2
